"","id","sitenum","steady","colnum","mins","mags","magsdiv","recov.rate","recov.time","dpy1","dpy2"
"141","0000000000000000008c",141,308.666666666667,13,194,114.666666666667,0.371490280777538,19.2857142857143,5.94567901234568,0,1
"142","0000000000000000008d",142,282,13,179,103,0.365248226950355,48.5,2.12371134020619,0,1
"143","0000000000000000008e",143,305,12,304,1,0.00327868852459016,-2.50000000000006,-0.39999999999999,0,0
"144","0000000000000000008f",144,314,13,222,92,0.292993630573248,17.3488372093023,5.3029490616622,0,1
"145","90",145,309,13,151,158,0.511326860841424,28.8488372093023,5.47682386134623,0,1
"146","91",146,285,13,155,130,0.456140350877193,24.3720930232558,5.33396946564886,0,1
"147","92",147,292,13,225,67,0.229452054794521,32,2.09375,0,1
"148","93",148,284.666666666667,13,256,28.6666666666667,0.100702576112412,9.4999999999999,3.01754385964916,0,1
"149","94",149,257.333333333333,12,244,13.3333333333333,0.0518134715025906,3.45714285714285,3.85674931129477,0,0
"150","95",150,281,13,234,47,0.167259786476868,24,1.95833333333334,0,1
"151","96",151,331,13,162,169,0.510574018126888,27.3714285714286,6.17432150313153,0,1
"152","97",152,338.666666666667,13,181,157.666666666667,0.465551181102362,23.2,6.79597701149426,0,1
"153","98",153,299.333333333333,13,215,84.3333333333333,0.28173719376392,15.7714285714286,5.34722222222222,0,1
"154","99",154,315,13,290,25,0.0793650793650794,6.74285714285712,3.70762711864408,0,0
"155","0000000000000000009a",155,300.333333333333,13,263,37.3333333333333,0.124306326304106,8.42857142857142,4.42937853107345,0,1
"156","0000000000000000009b",156,267.333333333333,13,231,36.3333333333333,0.135910224438903,31,1.17204301075269,0,1
"157","0000000000000000009c",157,292.333333333333,13,181,111.333333333333,0.380843785632839,52.5,2.12063492063492,0,1
"158","0000000000000000009d",158,339.666666666667,13,227,112.666666666667,0.331697742885182,21.9428571428571,5.13454861111111,0,1
"159","0000000000000000009e",159,317.666666666667,13,281,36.6666666666667,0.115424973767051,6.49999999999996,5.64102564102568,0,1
"160","0000000000000000009f",160,325.666666666667,13,245,80.6666666666667,0.247697031729785,46.9999999999999,1.71631205673759,0,1
"161","000000000000000000a0",161,295.666666666667,12,228,67.6666666666667,0.228861330326945,10.1071428571429,6.69493521790342,1,0
