plot,loc,size,RO,BO,WO,CO
1 46,W5,3,0,0,0,0
1 46,W10,1,0,0,0,0
1 46,W10,2,0,0,0,0
1 46,W10,3,0,0,0,0
1 47,N5,1,0,0,1,0
1 47,N5,2,0,0,0,0
1 47,N5,3,0,0,0,0
1 47,N10,1,0,0,0,0
1 47,N10,2,0,0,0,0
1 47,N10,3,0,0,0,0
1 47,E5,1,1,0,0,0
1 47,E5,2,0,0,0,0
1 47,E5,3,0,0,0,0
1 47,E10,1,1,0,0,0
1 47,E10,2,0,0,0,0
1 47,E10,3,0,0,0,0
1 47,S5,1,1,0,0,0
1 47,S5,2,0,0,0,0
1 47,S5,3,0,0,0,0
1 47,S10,1,1,0,0,0
1 47,S10,2,0,0,0,0
1 47,S10,3,0,0,0,0
1 47,W5,1,1,0,0,0
1 47,W5,2,0,0,0,0
1 47,W5,3,0,0,0,0
1 47,W10,1,0,0,0,0
1 47,W10,2,0,0,0,0
1 47,W10,3,0,0,0,0
1 50,N5,1,1,0,0,0
1 50,N5,2,0,0,0,0
1 50,N5,3,0,0,0,0
1 50,N10,1,1,0,0,0
1 50,N10,2,0,0,0,0
1 50,N10,3,0,0,0,0
1 50,E5,1,1,0,0,0
1 50,E5,2,0,0,0,0
1 50,E5,3,0,0,0,0
1 50,E10,1,1,0,0,0
1 50,E10,2,0,0,0,0
1 50,E10,3,0,0,0,0
1 50,S5,1,1,0,0,0
1 50,S5,2,0,0,0,0
1 50,S5,3,0,0,0,0
1 50,S10,1,1,0,1,0
1 50,S10,2,0,0,0,0
1 50,S10,3,0,0,0,0
1 50,W5,1,1,0,0,0
1 50,W5,2,0,0,0,0
1 50,W5,3,0,0,0,0
1 50,W10,1,1,0,0,0
1 50,W10,2,0,0,0,0
1 50,W10,3,1,0,0,0
1 51,N5,1,1,0,0,0
1 51,N5,2,0,0,0,0
1 51,N5,3,0,0,0,0
1 51,N10,1,1,0,0,0
1 51,N10,2,0,0,0,0
1 51,N10,3,0,0,0,0
1 51,E5,1,0,0,0,0
1 51,E5,2,0,0,0,0
1 51,E5,3,0,0,0,0
1 51,E10,1,1,0,0,0
1 51,E10,2,0,0,0,0
1 51,E10,3,0,0,0,0
1 51,S5,1,1,1,0,0
1 51,S5,2,0,0,0,0
1 51,S5,3,0,0,0,0
1 51,S10,1,1,1,0,0
1 51,S10,2,0,0,0,0
1 51,S10,3,0,0,0,0
1 51,W5,1,0,0,0,0
1 51,W5,2,0,0,0,0
1 51,W5,3,0,0,0,0
1 51,W10,1,0,0,0,0
1 51,W10,2,0,0,0,0
1 51,W10,3,0,0,0,0
1 52,N5,1,0,0,0,0
1 52,N5,2,0,0,0,0
1 52,N5,3,0,0,0,0
1 52,N10,1,1,0,0,0
1 52,N10,2,0,0,0,0
1 52,N10,3,0,0,0,0
1 52,E5,1,1,0,0,0
1 52,E5,2,0,0,0,0
1 52,E5,3,0,0,0,0
1 52,E10,1,1,0,0,0
1 52,E10,2,0,0,0,0
1 52,E10,3,0,0,0,0
1 52,S5,1,1,0,0,0
1 52,S5,2,0,0,0,0
1 52,S5,3,0,0,0,0
1 52,S10,1,1,0,0,0
1 52,S10,2,0,0,0,0
1 52,S10,3,0,0,0,0
1 52,W5,1,1,0,0,0
1 52,W5,2,0,0,0,0
1 52,W5,3,0,0,0,0
1 52,W10,1,0,0,0,0
1 52,W10,2,0,0,0,0
1 52,W10,3,0,0,0,0
1 54,N5,1,0,0,0,0
1 54,N5,2,0,0,0,0
1 54,N5,3,0,0,0,0
1 54,N10,1,0,0,0,0
1 54,N10,2,0,0,0,0
1 54,N10,3,0,0,0,0
1 54,E5,1,0,0,0,0
1 54,E5,2,0,0,0,0
1 54,E5,3,0,0,0,0
1 54,E10,1,1,0,0,0
1 54,E10,2,0,0,0,0
1 54,E10,3,0,0,0,0
1 54,S5,1,0,0,0,0
1 54,S5,2,0,0,0,0
1 54,S5,3,0,0,0,0
1 54,S10,1,0,0,0,0
1 54,S10,2,0,0,0,0
1 54,S10,3,0,0,0,0
1 54,W5,1,1,0,0,0
1 54,W5,2,0,0,0,0
1 54,W5,3,0,0,0,0
1 54,W10,1,0,0,0,0
