plot,plot_2,loc,size,RO,BO,WO,CO
1 65,1_65,E10,1,0,0,0,0
1 65,1_65,E10,2,0,0,0,0
1 65,1_65,E10,3,0,0,0,0
1 65,1_65,S5,1,0,0,0,0
1 65,1_65,S5,2,0,0,0,0
1 65,1_65,S5,3,0,0,0,0
1 65,1_65,S10,1,0,0,0,0
1 65,1_65,S10,2,0,0,0,0
1 65,1_65,S10,3,0,0,0,0
1 65,1_65,W5,1,0,0,0,0
1 65,1_65,W5,2,0,0,0,0
1 65,1_65,W5,3,0,0,0,0
1 65,1_65,W10,1,0,0,0,0
1 65,1_65,W10,2,0,0,0,0
1 65,1_65,W10,3,0,0,0,0
1 67,1_67,N5,1,1,0,0,0
1 67,1_67,N5,2,0,0,0,0
1 67,1_67,N5,3,0,0,0,0
1 67,1_67,N10,1,0,0,0,0
1 67,1_67,N10,2,0,0,0,0
1 67,1_67,N10,3,0,0,0,0
1 67,1_67,E5,1,1,0,0,0
1 67,1_67,E5,2,0,0,0,0
1 67,1_67,E5,3,0,0,0,0
1 67,1_67,E10,1,0,0,0,0
1 67,1_67,E10,2,0,0,0,0
1 67,1_67,E10,3,0,0,0,0
